a0,a1,a2,a3,a4,a5,a6,a7
66,10.0,1489666271969.0,0,0,1.0,12.9803,77.6975
67,10.0,1489666272867.0,0,0,1.0,12.9803,77.6975
68,10.0,1489666274420.0,0,0,1.0,12.9803,77.6975
69,10.0,1489666276173.0,0,0,1.0,12.9803,77.6975
70,10.0,1489666277484.0,0,0,1.0,12.9803,77.6975
71,10.0,1489666278416.0,0,0,1.0,12.9803,77.6975
72,10.0,1489666280410.0,0,0,1.0,12.9803,77.6975
73,10.0,1489666281874.0,0,0,1.0,12.9803,77.6975
74,10.0,1489666284012.0,0,0,1.0,12.9803,77.6975
75,10.0,1489666285041.0,0,0,1.0,12.9803,77.6975
76,10.0,1489666286584.0,0,0,1.0,12.9803,77.6975
77,10.0,1489666287666.0,0,0,1.0,12.9803,77.6975
78,10.0,1489666289351.0,0,0,1.0,12.9803,77.6975
79,10.0,1489666290900.0,0,0,1.0,12.9803,77.6975
80,10.0,1489666291896.0,0,0,1.0,12.9803,77.6975
81,10.0,1489666293217.0,0,0,1.0,12.9803,77.6975
82,10.0,1489666293953.0,0,0,1.0,12.9803,77.6975
83,10.0,1489666294495.0,0,0,1.0,12.9803,77.6975
84,10.0,1489666295695.0,0,0,1.0,12.9803,77.6975
85,10.0,1489666296976.0,0,0,1.0,12.9803,77.6975
88,10.0,1493976627270.0,0,0,1.0,12.9803,77.6975
89,10.0,1493976629160.0,0,0,1.0,12.9803,77.6975
90,10.0,1493976632218.0,0,0,1.0,12.9803,77.6975
91,10.0,1493976634679.0,0,0,1.0,12.9803,77.6975
92,10.0,1493976638095.0,0,0,1.0,12.9803,77.6975
93,10.0,1493976640623.0,0,0,1.0,12.9803,77.6976
94,10.0,1493976643813.0,0,0,1.0,12.9803,77.6976
95,10.0,1493976647103.0,0,0,1.0,12.9803,77.6976
96,10.0,1493976648385.0,0,0,1.0,12.9803,77.6976
97,10.0,1493976651126.0,0,0,1.0,12.9803,77.6976
98,10.0,1493976658946.0,0,0,1.0,12.9803,77.6976
99,10.0,1493976660269.0,0,0,1.0,12.9803,77.6976
100,10.0,1493976666236.0,0,0,1.0,12.9803,77.6976
101,10.0,1493976684272.0,0,0,1.0,12.9803,77.6976
102,10.0,1493976696584.0,0,0,1.0,12.9803,77.6976
103,10.0,1493976701493.0,0,0,1.0,12.9803,77.6976
104,10.0,1493976706172.0,0,0,1.0,12.9803,77.6976
105,10.0,1493976709153.0,0,0,1.0,12.9803,77.6976
106,10.0,1493976712569.0,0,0,1.0,12.9803,77.6976
107,10.0,1493976714941.0,0,0,1.0,12.9803,77.6976
108,10.0,1493976717719.0,0,0,1.0,12.9803,77.6976
109,10.0,1493976728121.0,0,0,1.0,12.9803,77.6976
110,10.0,1493976731338.0,0,0,1.0,12.9803,77.6976
111,10.0,1493976732822.0,0,0,1.0,12.9803,77.6976
112,10.0,1493976734372.0,0,0,1.0,12.9803,77.6976
113,10.0,1493976738367.0,0,0,1.0,12.9803,77.6976
114,10.0,1494063235372.0,0,0,1.0,12.9803,77.6976
115,10.0,1494063267894.0,0,0,1.0,12.9803,77.6976
137,10.0,1494485963097.0,1,1,1.0,12.9803,77.6975
138,10.0,1494485969943.0,1,1,1.0,12.9803,77.6975
139,10.0,1494485980853.0,1,1,1.0,12.9803,77.6975
140,10.0,1494486034562.0,1,1,1.0,12.9803,77.6975
141,10.0,1494486041491.0,1,1,1.0,12.9803,77.6975
142,10.0,1494486050518.0,1,1,1.0,12.9803,77.6975
144,20.0,1494486392000.0,1,3,0.0,0.0,0.0
145,20.0,1494486397000.0,0,0,0.0,0.0,0.0
146,20.0,1494486404000.0,1,3,0.0,0.0,0.0
147,20.0,1494486416000.0,1,3,0.0,0.0,0.0
148,20.0,1494486419000.0,1,3,0.0,0.0,0.0
149,10.0,1494574205553.0,0,0,1.0,12.9803,77.6976
150,10.0,1494574206573.0,0,0,1.0,12.9803,77.6976
151,10.0,1494574207974.0,0,0,1.0,12.9803,77.6976
152,10.0,1494574208872.0,0,0,1.0,12.9803,77.6976
153,10.0,1494574210196.0,0,0,1.0,12.9803,77.6976
154,10.0,1494574211213.0,0,0,1.0,12.9803,77.6976
155,10.0,1494574212693.0,0,0,1.0,12.9803,77.6976
156,10.0,1494574214927.0,0,0,1.0,12.9803,77.6976
157,10.0,1494574217907.0,0,0,1.0,12.9803,77.6976
158,10.0,1494574222361.0,0,0,1.0,12.9803,77.6975
159,10.0,1494574225661.0,0,0,1.0,12.9803,77.6976
160,10.0,1494574228113.0,0,0,1.0,12.9803,77.6976
161,10.0,1494574231028.0,0,0,1.0,12.9803,77.6976
240,10.0,1495916093718.0,0,0,1.0,12.9802,77.6976
241,10.0,1495916096004.0,0,0,1.0,12.9802,77.6976
242,10.0,1495916103632.0,0,0,1.0,12.9802,77.6976
243,10.0,1495916111246.0,0,0,1.0,12.9802,77.6976
269,10.0,1495688312369.0,0,0,1.0,12.9971,77.6963
270,10.0,1495688314119.0,0,0,1.0,12.9971,77.6963
271,10.0,1495688316436.0,0,0,1.0,12.9971,77.6963
272,10.0,1495688318292.0,0,0,1.0,12.9971,77.6963
273,10.0,1495688321790.0,0,0,1.0,12.9971,77.6963
293,10.0,1495802192063.0,1,1,1.0,12.98,77.6975
294,10.0,1495802249859.0,1,1,1.0,12.98,77.6975
295,10.0,1495802266825.0,1,1,1.0,12.98,77.6975
296,10.0,1495802269217.0,1,1,1.0,12.9803,77.6975
297,10.0,1495802287333.0,1,1,1.0,12.98,77.6975
305,30.0,1496217721561.0,0,0,0.0,0.0,0.0
308,30.0,1496300791000.0,0,0,0.0,0.0,0.0
319,10.0,1496471675629.0,0,0,1.0,12.9802,77.6975
320,10.0,1496471677335.0,0,0,1.0,12.9802,77.6975
321,10.0,1496471678430.0,0,0,1.0,12.9802,77.6975
322,10.0,1496471679724.0,0,0,1.0,12.9802,77.6975
323,10.0,1496471680970.0,0,0,1.0,12.9802,77.6975
324,10.0,1496471682605.0,0,0,1.0,12.9802,77.6975
325,10.0,1496471683555.0,0,0,1.0,12.9802,77.6975
326,10.0,1496471684645.0,0,0,1.0,12.9802,77.6975
327,10.0,1496471685690.0,0,0,1.0,12.9802,77.6975
328,10.0,1496471687429.0,0,0,1.0,12.9802,77.6975
329,10.0,1496471688713.0,0,0,1.0,12.9802,77.6975
330,10.0,1496471690018.0,0,0,1.0,12.9802,77.6975
331,10.0,1496471691273.0,0,0,1.0,12.9802,77.6975
332,10.0,1496471692637.0,0,0,1.0,12.9802,77.6975
333,10.0,1496471695010.0,0,0,1.0,12.9802,77.6975
334,10.0,1496471696800.0,0,0,1.0,12.9802,77.6975
335,10.0,1496471698312.0,0,0,1.0,12.9802,77.6975
336,10.0,1496471700403.0,0,0,1.0,12.9802,77.6975
337,10.0,1496471702369.0,0,0,1.0,12.9802,77.6975
338,10.0,1496471703342.0,0,0,1.0,12.9802,77.6975
339,10.0,1496471704670.0,0,0,1.0,12.9802,77.6975
340,10.0,1496471706086.0,0,0,1.0,12.9802,77.6975
341,10.0,1496471707319.0,0,0,1.0,12.9802,77.6975
342,10.0,1496471709665.0,0,0,1.0,12.9802,77.6975
343,30.0,1496581993889.0,0,0,0.0,0.0,0.0
344,10.0,1496643841731.0,0,0,1.0,12.9803,77.6976
345,10.0,1496643845085.0,0,0,1.0,12.9803,77.6976
346,10.0,1496643847239.0,0,0,1.0,12.9803,77.6976
347,10.0,1496643853120.0,0,0,1.0,12.9803,77.6976
348,10.0,1496643856576.0,0,0,1.0,12.9803,77.6976
349,10.0,1496643859064.0,0,0,1.0,12.9803,77.6976
350,10.0,1496643861476.0,0,0,1.0,12.9803,77.6976
351,10.0,1496643867327.0,0,0,1.0,12.9803,77.6976
352,10.0,1496643869452.0,0,0,1.0,12.9803,77.6976
353,10.0,1496643870751.0,0,0,1.0,12.9803,77.6976
354,10.0,1496643872812.0,0,0,1.0,12.9803,77.6976
355,10.0,1496643874098.0,0,0,1.0,12.9803,77.6976
356,10.0,1496643875836.0,0,0,1.0,12.9803,77.6976
357,10.0,1496643877416.0,0,0,1.0,12.9803,77.6976
358,10.0,1496643879281.0,0,0,1.0,12.9803,77.6976
359,10.0,1496643881139.0,0,0,1.0,12.9803,77.6976
360,10.0,1496643882468.0,0,0,1.0,12.9803,77.6976
361,10.0,1496643884229.0,0,0,1.0,12.9803,77.6976
362,10.0,1496643885744.0,0,0,1.0,12.9803,77.6976
363,10.0,1496643887180.0,0,0,1.0,12.9803,77.6976
364,10.0,1496645210157.0,0,0,1.0,12.9803,77.6976
365,10.0,1496645210225.0,0,0,1.0,12.9803,77.6976
366,10.0,1496645210299.0,0,0,1.0,12.9803,77.6976
367,10.0,1496645210359.0,0,0,1.0,12.9803,77.6976
368,10.0,1496645210434.0,0,0,1.0,12.9803,77.6976
369,10.0,1496645210502.0,0,0,1.0,12.9803,77.6976
370,10.0,1496645210574.0,0,0,1.0,12.9803,77.6976
371,10.0,1496645210640.0,0,0,1.0,12.9803,77.6976
372,10.0,1496645210714.0,0,0,1.0,12.9803,77.6976
373,10.0,1496645210781.0,0,0,1.0,12.9803,77.6976
374,10.0,1496645210853.0,0,0,1.0,12.9803,77.6976
375,10.0,1496645210924.0,0,0,1.0,12.9803,77.6976
376,10.0,1496645210988.0,0,0,1.0,12.9803,77.6976
377,10.0,1496645211059.0,0,0,1.0,12.9803,77.6976
378,10.0,1496645211139.0,0,0,1.0,12.9803,77.6976
379,10.0,1496645211190.0,0,0,1.0,12.9803,77.6976
380,10.0,1496645211251.0,0,0,1.0,12.9803,77.6976
381,10.0,1496645211315.0,0,0,1.0,12.9803,77.6976
382,10.0,1496645211373.0,0,0,1.0,12.9803,77.6976
383,10.0,1496645211422.0,0,0,1.0,12.9803,77.6976
384,10.0,1496645211474.0,0,0,1.0,12.9803,77.6976
385,10.0,1496645211532.0,0,0,1.0,12.9803,77.6976
386,10.0,1496645211601.0,0,0,1.0,12.9803,77.6976
387,10.0,1496645211634.0,0,0,1.0,12.9803,77.6976
388,10.0,1496645211689.0,0,0,1.0,12.9803,77.6976
389,10.0,1496645211743.0,0,0,1.0,12.9803,77.6976
390,10.0,1496645211798.0,0,0,1.0,12.9803,77.6976
391,10.0,1496645211855.0,0,0,1.0,12.9803,77.6976
392,10.0,1496645211902.0,0,0,1.0,12.9803,77.6976
393,10.0,1496645211953.0,0,0,1.0,12.9803,77.6976
394,10.0,1496645212005.0,0,0,1.0,12.9803,77.6976
395,10.0,1496645212058.0,0,0,1.0,12.9803,77.6976
396,10.0,1496645212107.0,0,0,1.0,12.9803,77.6976
397,10.0,1496645212160.0,0,0,1.0,12.9803,77.6976
398,10.0,1496645212211.0,0,0,1.0,12.9803,77.6976
399,10.0,1496645212261.0,0,0,1.0,12.9803,77.6976
400,10.0,1496645212313.0,0,0,1.0,12.9803,77.6976
401,10.0,1496645212364.0,0,0,1.0,12.9803,77.6976
402,10.0,1496645212420.0,0,0,1.0,12.9803,77.6976
403,10.0,1496645212476.0,0,0,1.0,12.9803,77.6976
404,10.0,1496645212521.0,0,0,1.0,12.9803,77.6976
405,10.0,1496645212572.0,0,0,1.0,12.9803,77.6976
406,10.0,1496645212625.0,0,0,1.0,12.9803,77.6976
407,10.0,1496645212677.0,0,0,1.0,12.9803,77.6976
408,10.0,1496645212728.0,0,0,1.0,12.9803,77.6976
409,10.0,1496645212780.0,0,0,1.0,12.9803,77.6976
410,10.0,1496645212830.0,0,0,1.0,12.9803,77.6976
411,10.0,1496645212886.0,0,0,1.0,12.9803,77.6976
412,10.0,1496645212937.0,0,0,1.0,12.9803,77.6976
413,10.0,1496645212989.0,0,0,1.0,12.9803,77.6976
414,10.0,1496645216643.0,0,0,1.0,12.9803,77.6976
415,10.0,1496645216695.0,0,0,1.0,12.9803,77.6976
416,10.0,1496645216742.0,0,0,1.0,12.9803,77.6976
417,10.0,1496645216810.0,0,0,1.0,12.9803,77.6976
418,10.0,1496645216862.0,0,0,1.0,12.9803,77.6976
419,10.0,1496645216943.0,0,0,1.0,12.9803,77.6976
420,10.0,1496645216984.0,0,0,1.0,12.9803,77.6976
421,10.0,1496645217028.0,0,0,1.0,12.9803,77.6976
422,10.0,1496645217085.0,0,0,1.0,12.9803,77.6976
423,10.0,1496645217137.0,0,0,1.0,12.9803,77.6976
424,10.0,1496645219263.0,0,0,1.0,12.9803,77.6976
425,10.0,1496645219311.0,0,0,1.0,12.9803,77.6976
426,10.0,1496645219365.0,0,0,1.0,12.9803,77.6976
427,10.0,1496645219416.0,0,0,1.0,12.9803,77.6976
428,10.0,1496645219474.0,0,0,1.0,12.9803,77.6976
429,10.0,1496645219520.0,0,0,1.0,12.9803,77.6976
430,10.0,1496645219571.0,0,0,1.0,12.9803,77.6976
431,10.0,1496645219622.0,0,0,1.0,12.9803,77.6976
432,10.0,1496645219673.0,0,0,1.0,12.9803,77.6976
433,10.0,1496645223036.0,0,0,1.0,12.9803,77.6976
434,10.0,1496645223084.0,0,0,1.0,12.9803,77.6976
435,10.0,1496645223135.0,0,0,1.0,12.9803,77.6976
436,10.0,1496645223187.0,0,0,1.0,12.9803,77.6976
437,10.0,1496645223239.0,0,0,1.0,12.9803,77.6976
438,10.0,1496645223290.0,0,0,1.0,12.9803,77.6976
439,10.0,1496645223341.0,0,0,1.0,12.9803,77.6976
440,10.0,1496645223395.0,0,0,1.0,12.9803,77.6976
441,10.0,1496645223450.0,0,0,1.0,12.9803,77.6976
442,10.0,1496645227358.0,0,0,1.0,12.9803,77.6976
443,10.0,1496645229123.0,0,0,1.0,12.9803,77.6976
444,10.0,1496645230906.0,0,0,1.0,12.9803,77.6976
445,10.0,1496645233691.0,0,0,1.0,12.9803,77.6976
446,10.0,1496645236136.0,0,0,1.0,12.9803,77.6976
447,10.0,1496645237021.0,0,0,1.0,12.9803,77.6976
448,10.0,1496645238185.0,0,0,1.0,12.9803,77.6976
449,10.0,1496645239769.0,0,0,1.0,12.9803,77.6976
467,10.0,1496720264592.0,0,0,0.0,0.0,0.0
468,10.0,1496720266039.0,0,0,1.0,12.9803,77.6976
469,10.0,1496720267344.0,0,0,1.0,12.9803,77.6976
470,10.0,1496720268696.0,0,0,1.0,12.9803,77.6976
471,10.0,1496720270079.0,0,0,1.0,12.9803,77.6976
472,10.0,1496720271515.0,0,0,1.0,12.9803,77.6976
473,10.0,1496720272494.0,0,0,1.0,12.9803,77.6976
474,10.0,1496720273722.0,0,0,1.0,12.9803,77.6976
475,10.0,1496720275547.0,0,0,1.0,12.9803,77.6976
476,10.0,1496720276433.0,0,0,1.0,12.9803,77.6976
477,10.0,1496720279338.0,0,0,1.0,12.9802,77.6975
478,10.0,1496720280108.0,0,0,1.0,12.9802,77.6975
479,10.0,1496720280143.0,0,0,1.0,12.9802,77.6975
480,10.0,1496720280196.0,0,0,1.0,12.9802,77.6975
481,10.0,1496720280251.0,0,0,1.0,12.9802,77.6975
482,10.0,1496720280307.0,0,0,1.0,12.9802,77.6975
483,10.0,1496720280357.0,0,0,1.0,12.9802,77.6975
484,10.0,1496720280409.0,0,0,1.0,12.9802,77.6975
485,10.0,1496720280462.0,0,0,1.0,12.9802,77.6975
486,10.0,1496720280518.0,0,0,1.0,12.9802,77.6975
487,10.0,1496720280569.0,0,0,1.0,12.9802,77.6975
488,10.0,1496720280621.0,0,0,1.0,12.9802,77.6975
489,10.0,1496720280672.0,0,0,1.0,12.9802,77.6975
490,10.0,1496720280726.0,0,0,1.0,12.9802,77.6975
491,10.0,1496720280775.0,0,0,1.0,12.9802,77.6975
492,10.0,1496720280826.0,0,0,1.0,12.9802,77.6975
493,10.0,1496720280878.0,0,0,1.0,12.9802,77.6975
494,10.0,1496720280930.0,0,0,1.0,12.9802,77.6975
495,10.0,1496720280980.0,0,0,1.0,12.9802,77.6975
496,10.0,1496720281031.0,0,0,1.0,12.9802,77.6975
497,10.0,1496720281144.0,0,0,1.0,12.9802,77.6975
498,10.0,1496720281227.0,0,0,1.0,12.9802,77.6975
499,10.0,1496720281334.0,0,0,1.0,12.9802,77.6975
500,10.0,1496720281426.0,0,0,1.0,12.9802,77.6975
501,10.0,1496720281530.0,0,0,1.0,12.9802,77.6975
502,10.0,1496720281631.0,0,0,1.0,12.9802,77.6975
503,10.0,1496720281723.0,0,0,1.0,12.9802,77.6975
504,10.0,1496720281791.0,0,0,1.0,12.9802,77.6975
505,10.0,1496720281848.0,0,0,1.0,12.9802,77.6975
506,10.0,1496720281899.0,0,0,1.0,12.9802,77.6975
507,10.0,1496720281958.0,0,0,1.0,12.9802,77.6975
508,10.0,1496720282018.0,0,0,1.0,12.9802,77.6975
509,10.0,1496720282065.0,0,0,1.0,12.9802,77.6975
510,10.0,1496720282130.0,0,0,1.0,12.9802,77.6975
511,10.0,1496720282203.0,0,0,1.0,12.9802,77.6975
512,10.0,1496720282280.0,0,0,1.0,12.9802,77.6975
513,10.0,1496720282361.0,0,0,1.0,12.9802,77.6975
514,10.0,1496720282458.0,0,0,1.0,12.9802,77.6975
515,10.0,1496720282528.0,0,0,1.0,12.9802,77.6975
516,10.0,1496720282605.0,0,0,1.0,12.9802,77.6975
517,10.0,1496720282676.0,0,0,1.0,12.9802,77.6975
518,10.0,1496720282741.0,0,0,1.0,12.9802,77.6975
519,10.0,1496720282806.0,0,0,1.0,12.9802,77.6975
520,10.0,1496720282859.0,0,0,1.0,12.9802,77.6975
521,10.0,1496720282912.0,0,0,1.0,12.9802,77.6975
522,10.0,1496720282960.0,0,0,1.0,12.9802,77.6975
523,10.0,1496720283012.0,0,0,1.0,12.9802,77.6975
524,10.0,1496720283062.0,0,0,1.0,12.9802,77.6975
525,10.0,1496720283115.0,0,0,1.0,12.9802,77.6975
526,10.0,1496720283166.0,0,0,1.0,12.9802,77.6975
527,10.0,1496720283218.0,0,0,1.0,12.9802,77.6975
528,10.0,1496720283268.0,0,0,1.0,12.9802,77.6975
529,10.0,1496720283319.0,0,0,1.0,12.9802,77.6975
530,10.0,1496720283372.0,0,0,1.0,12.9802,77.6975
531,10.0,1496720283423.0,0,0,1.0,12.9802,77.6975
532,10.0,1496720283474.0,0,0,1.0,12.9802,77.6975
533,10.0,1496720283529.0,0,0,1.0,12.9802,77.6975
534,10.0,1496720283579.0,0,0,1.0,12.9802,77.6975
535,10.0,1496720283632.0,0,0,1.0,12.9802,77.6975
536,10.0,1496720283681.0,0,0,1.0,12.9802,77.6975
537,10.0,1496720283741.0,0,0,1.0,12.9802,77.6975
538,10.0,1496720283793.0,0,0,1.0,12.9802,77.6975
539,10.0,1496720283846.0,0,0,1.0,12.9802,77.6975
540,10.0,1496720283895.0,0,0,1.0,12.9802,77.6975
541,10.0,1496720283951.0,0,0,1.0,12.9802,77.6975
542,10.0,1496720283998.0,0,0,1.0,12.9802,77.6975
543,10.0,1496720319348.0,0,0,1.0,12.9803,77.6976
544,10.0,1496720321341.0,0,0,1.0,12.9803,77.6976
545,10.0,1496720322960.0,0,0,1.0,12.9803,77.6976
546,10.0,1496808256631.0,0,0,1.0,12.9802,77.6975
547,10.0,1496808258644.0,0,0,1.0,12.9802,77.6975
548,10.0,1496808259705.0,0,0,1.0,12.9802,77.6975
549,10.0,1496808260802.0,0,0,1.0,12.9802,77.6975
550,10.0,1496808262360.0,0,0,1.0,12.9802,77.6975
551,10.0,1496808263782.0,0,0,1.0,12.9802,77.6975
552,10.0,1496808266063.0,0,0,1.0,12.9802,77.6975
553,10.0,1496808267250.0,0,0,1.0,12.9802,77.6975
554,10.0,1496808269638.0,0,0,1.0,12.9802,77.6975
555,10.0,1496808272642.0,0,0,1.0,12.9802,77.6975
556,10.0,1496808275787.0,0,0,1.0,12.9802,77.6975
557,10.0,1496808278468.0,0,0,1.0,12.9802,77.6975
558,10.0,1496808283027.0,0,0,1.0,12.9802,77.6975
559,10.0,1496808287695.0,0,0,1.0,12.9802,77.6975
560,10.0,1496808292367.0,0,0,1.0,12.9802,77.6975
561,10.0,1496808296065.0,0,0,1.0,12.9802,77.6975
562,10.0,1496808298403.0,0,0,1.0,12.9802,77.6975
563,10.0,1496808300725.0,0,0,1.0,12.9802,77.6975
564,10.0,1496808305860.0,0,0,1.0,12.9803,77.6976
565,10.0,1496808307413.0,0,0,1.0,12.9803,77.6976
566,10.0,1496808308833.0,0,0,1.0,12.9803,77.6976
567,10.0,1496808309759.0,0,0,1.0,12.9803,77.6976
568,10.0,1496808311389.0,0,0,1.0,12.9803,77.6976
569,10.0,1496808327257.0,0,0,1.0,12.9803,77.6976
570,10.0,1496808328402.0,0,0,1.0,12.9803,77.6976
571,10.0,1496808330479.0,0,0,1.0,12.9803,77.6976
572,10.0,1496808331591.0,0,0,1.0,12.9803,77.6976
573,10.0,1496808332802.0,0,0,1.0,12.9803,77.6976
580,30.0,1496821907818.0,0,0,0.0,0.0,0.0
581,30.0,1496821956145.0,0,0,0.0,0.0,0.0
582,30.0,1496821965135.0,0,0,0.0,0.0,0.0
597,10.0,1496905385606.0,0,0,1.0,12.9802,77.6975
598,10.0,1496905388777.0,0,0,1.0,12.9802,77.6975
599,10.0,1496905394271.0,0,0,1.0,12.9802,77.6975
600,10.0,1496905397936.0,0,0,1.0,12.9802,77.6975
601,10.0,1496905401674.0,0,0,1.0,12.9802,77.6975
602,10.0,1496905408563.0,0,0,1.0,12.9802,77.6975
603,10.0,1496905423000.0,0,0,1.0,12.9802,77.6975
604,10.0,1496905433860.0,0,0,1.0,12.9802,77.6975
605,10.0,1496905441254.0,0,0,1.0,12.9802,77.6975
606,10.0,1496905468366.0,0,0,1.0,12.9802,77.6975
607,10.0,1496905471476.0,0,0,1.0,12.9802,77.6975
608,10.0,1496905475412.0,0,0,1.0,12.9802,77.6975
609,10.0,1496905477374.0,0,0,1.0,12.9802,77.6975
610,10.0,1496905478890.0,0,0,1.0,12.9802,77.6975
611,10.0,1496905483386.0,0,0,1.0,12.9802,77.6975
612,10.0,1496905486326.0,0,0,1.0,12.9802,77.6975
613,10.0,1496905488805.0,0,0,1.0,12.9802,77.6975
614,10.0,1496905493895.0,0,0,1.0,12.9802,77.6975
615,10.0,1496905496529.0,0,0,1.0,12.9802,77.6975
616,10.0,1496905498761.0,0,0,1.0,12.9802,77.6975
617,10.0,1496905501520.0,0,0,1.0,12.9802,77.6975
618,10.0,1496905505082.0,0,0,1.0,12.9802,77.6975
619,10.0,1496905507112.0,0,0,1.0,12.9802,77.6975
620,10.0,1496905514237.0,0,0,1.0,12.9802,77.6975
621,10.0,1496905515668.0,0,0,1.0,12.9802,77.6975
622,10.0,1496905517351.0,0,0,1.0,12.9802,77.6975
623,10.0,1496905518757.0,0,0,1.0,12.9802,77.6975
624,10.0,1496905521087.0,0,0,1.0,12.9802,77.6975
625,10.0,1496905522914.0,0,0,1.0,12.9802,77.6975
626,10.0,1496905525993.0,0,0,1.0,12.9802,77.6975
627,10.0,1496905547196.0,0,0,1.0,12.9802,77.6975
629,10.0,1496905787000.0,0,0,0.0,0.0,0.0
630,10.0,1496905779000.0,0,0,0.0,0.0,0.0
631,10.0,1496905787000.0,0,0,0.0,0.0,0.0
632,10.0,1496905787000.0,0,0,0.0,0.0,0.0
633,10.0,1496905787000.0,0,0,0.0,0.0,0.0
634,10.0,1496905788000.0,0,0,0.0,0.0,0.0
636,10.0,1496905788000.0,0,0,0.0,0.0,0.0
637,10.0,1496905788000.0,0,0,0.0,0.0,0.0
638,10.0,1481731704000.0,0,0,0.0,0.0,0.0
639,10.0,1496905789000.0,0,0,0.0,0.0,0.0
640,10.0,1496905789000.0,0,0,0.0,0.0,0.0
641,10.0,1496905790000.0,0,0,0.0,0.0,0.0
642,10.0,1496905790000.0,0,0,0.0,0.0,0.0
643,10.0,1496905790000.0,0,0,0.0,0.0,0.0
644,10.0,1496905790000.0,0,0,0.0,0.0,0.0
645,10.0,1496905791000.0,0,0,0.0,0.0,0.0
646,10.0,1496905791000.0,0,0,0.0,0.0,0.0
647,10.0,1496905791000.0,0,0,0.0,0.0,0.0
648,10.0,1496905791000.0,0,0,0.0,0.0,0.0
649,10.0,1496905791000.0,0,0,0.0,0.0,0.0
656,10.0,1496993247015.0,0,0,1.0,12.9802,77.6975
657,10.0,1496993248687.0,0,0,1.0,12.9802,77.6975
972,40.0,1497084451000.0,0,0,0.0,0.0,0.0
